Customer ID,Customer Name,Segment,Orders,Revenue,Profit,Units,Last_Order,First_Order,Recency Days,AOV,Revenue Contribution %,R_Score,F_Score,M_Score,RFM Score,RFM Segment
BO-11350,Bill Overfelt,Corporate,5,2682.728,278.77700000000004,43,2017-08-15,2016-01-03,137,536.5456,0.0011678247411284937,2,2,3,223,New / Promising
BO-11425,Bobby Odegard,Consumer,2,130.83,59.4522,7,2017-10-16,2015-09-10,75,65.415,5.6951920165533305e-05,3,1,1,311,At Risk
BP-11050,Barry Pond,Corporate,5,983.42,209.78300000000002,30,2017-10-08,2014-10-12,83,196.684,0.0004280949119406004,3,2,2,322,New / Promising
BP-11095,Bart Pistole,Corporate,12,2442.044,433.9751,70,2017-12-13,2014-06-07,17,203.50366666666665,0.0010630520135192203,5,5,3,553,Champions
BP-11155,Becky Pak,Consumer,6,1697.8609999999999,647.3847000000001,32,2017-10-02,2015-06-04,89,282.97683333333333,0.000739099932157552,3,3,2,332,Potential Loyalists
BP-11185,Ben Peterman,Corporate,9,3675.861,363.5991,69,2017-12-29,2015-03-24,1,408.429,0.0016001478423266636,5,5,4,554,Champions
BP-11230,Benjamin Patterson,Consumer,5,1181.49,-197.2695,14,2017-11-21,2014-04-20,39,236.298,0.0005143172373031869,4,2,2,422,Potential Loyalists
BP-11290,Beth Paige,Consumer,7,2475.157,-319.0637,51,2017-12-18,2014-10-03,12,353.5938571428572,0.0010774665127353123,5,3,3,533,Loyal Customers
BS-11365,Bill Shonely,Corporate,5,10501.653,2616.0643999999998,39,2016-06-20,2014-05-04,558,2100.3306000000002,0.00457149968097633,1,2,5,125,Potential Loyalists
BS-11380,Bill Stewart,Corporate,5,3887.834,-17.532200000000024,58,2017-12-02,2014-11-29,28,777.5668,0.001692422315866743,4,2,4,424,Loyal Customers
BS-11590,Brendan Sweed,Corporate,6,2454.928,381.7807,41,2017-11-25,2014-01-14,35,409.1546666666666,0.001068660578369887,4,3,3,433,Loyal Customers
BS-11665,Brian Stugart,Consumer,3,3288.1099999999997,238.73680000000002,47,2016-05-27,2014-06-23,582,1096.0366666666666,0.00143135502725286,1,1,4,114,New / Promising
BS-11755,Bruce Stewart,Consumer,7,2562.382,-113.29840000000003,45,2017-12-29,2014-05-18,1,366.0545714285714,0.0011154366360742914,5,3,3,533,Loyal Customers
BS-11800,Bryan Spruell,Home Office,2,949.4300000000001,194.0516,22,2017-04-09,2015-09-26,265,474.71500000000003,0.00041329864375725967,1,1,1,111,Lost / Low Value
BT-11305,Beth Thompson,Home Office,5,2567.656,417.5918,33,2017-01-28,2014-04-25,336,513.5312,0.0011177324736264813,1,2,3,123,New / Promising
BT-11395,Bill Tyler,Corporate,6,2186.6130000000003,257.9163,38,2017-03-03,2014-10-28,302,364.43550000000005,0.0009518597340741213,1,3,3,133,New / Promising
BT-11440,Bobby Trafton,Consumer,4,603.876,-77.5256,16,2016-06-18,2014-06-04,560,150.969,0.00026287470566293343,1,1,1,111,Lost / Low Value
BT-11485,Brad Thomas,Home Office,2,415.19599999999997,126.8694,11,2016-03-11,2015-12-27,659,207.59799999999998,0.00018073996365549768,1,1,1,111,Lost / Low Value
BT-11530,Bradley Talbott,Home Office,5,2684.4919999999997,409.4983,44,2017-09-30,2014-05-21,91,536.8983999999999,0.0011685926321869052,3,2,3,323,Potential Loyalists
BT-11680,Brian Thompson,Consumer,7,3196.752,447.74839999999995,88,2017-12-10,2014-11-28,20,456.6788571428571,0.0013915857578002666,5,3,4,534,Loyal Customers
BV-11245,Benjamin Venier,Corporate,5,1523.2730000000001,315.2214,49,2017-01-30,2015-03-26,334,304.6546,0.000663099612369582,1,2,2,122,At Risk
BW-11065,Barry Weirich,Consumer,3,385.516,-58.28659999999999,8,2017-06-01,2014-05-25,212,128.50533333333334,0.00016781989187904714,2,1,1,211,At Risk
BW-11110,Bart Watters,Corporate,8,4750.358,921.2574,74,2017-08-31,2015-03-20,121,593.79475,0.002067889700937877,2,4,5,245,Loyal Customers
BW-11200,Ben Wallace,Consumer,6,1738.406,246.9973,49,2017-06-10,2014-08-12,203,289.7343333333333,0.0007567496730664532,2,3,2,232,New / Promising
CA-11965,Carol Adams,Corporate,6,3789.7228,1143.3817,29,2017-09-25,2014-01-26,96,631.6204666666666,0.0016497132947726157,3,3,4,334,Loyal Customers
CA-12055,Cathy Armstrong,Home Office,5,1679.7240000000002,211.2559,49,2016-11-24,2015-09-05,401,335.94480000000004,0.0007312046713149145,1,2,2,122,At Risk
CA-12265,Christina Anderson,Consumer,9,2648.2872,279.6183,65,2017-11-04,2014-03-25,56,294.25413333333336,0.0011528322341191144,3,5,3,353,Loyal Customers
CA-12310,Christine Abelman,Corporate,4,1421.954,246.02179999999998,25,2017-12-17,2014-07-19,13,355.4885,0.0006189941961863543,5,1,2,512,Potential Loyalists
CA-12775,Cynthia Arntzen,Consumer,7,3041.566,204.48950000000002,72,2017-09-01,2014-06-28,120,434.50942857142854,0.0013240313690300422,2,3,4,234,Potential Loyalists
CB-12025,Cassandra Brandow,Consumer,10,6076.139,150.2089,122,2017-11-13,2014-03-21,47,607.6139000000001,0.0026450185985070957,4,5,5,455,Champions
CB-12415,Christy Brittain,Consumer,8,1949.2,272.3883,44,2017-12-04,2015-11-05,26,243.65,0.000848510913297084,5,4,3,543,Loyal Customers
CB-12535,Claudia Bergmann,Corporate,8,4246.4555,1049.5601,74,2017-06-16,2015-01-02,197,530.8069375,0.0018485346986355559,2,4,4,244,Loyal Customers
CC-12100,Chad Cunningham,Home Office,6,1770.945,208.5912,46,2016-09-29,2014-12-16,457,295.15749999999997,0.0007709143029698874,1,3,3,133,New / Promising
CC-12145,Charles Crestani,Consumer,7,2471.65,392.2825,31,2017-09-15,2014-07-20,106,353.09285714285716,0.001075939872178708,2,3,3,233,Potential Loyalists
CC-12220,Chris Cortes,Consumer,12,3913.418,393.9618,81,2017-12-10,2014-09-09,20,326.1181666666667,0.0017035593480880609,5,5,4,554,Champions
CC-12370,Christopher Conant,Consumer,5,12129.072000000002,2177.0493,34,2017-11-17,2016-05-23,43,2425.8144,0.005279935337659599,4,2,5,425,Loyal Customers
CC-12430,Chuck Clark,Home Office,10,2870.05,424.6583,63,2017-12-30,2015-09-06,0,287.005,0.001249368328908422,5,5,4,554,Champions
CC-12475,Cindy Chapman,Consumer,9,1659.438,154.851,40,2017-11-21,2014-05-16,39,184.382,0.0007223739241431801,4,5,2,452,Loyal Customers
CC-12550,Clay Cheatham,Consumer,3,113.832,33.870599999999996,14,2017-12-03,2017-06-15,27,37.943999999999996,4.9552480136688724e-05,4,1,1,411,New / Promising
CC-12610,Corey Catlett,Corporate,7,2540.631,331.434,39,2017-11-26,2014-08-27,34,362.94728571428567,0.0011059681562491709,4,3,3,433,Loyal Customers
CC-12670,Craig Carreira,Consumer,7,2269.7015,187.8399,47,2017-12-01,2014-12-23,29,324.24307142857145,0.0009880291877061161,4,3,3,433,Loyal Customers
CC-12685,Craig Carroll,Consumer,4,2854.1150000000002,850.1591,51,2015-10-23,2014-03-22,799,713.5287500000001,0.001242431625951625,1,1,4,114,New / Promising
CD-11920,Carlos Daly,Consumer,5,2033.968,426.661,35,2017-11-20,2014-03-24,40,406.7936,0.0008854114740904184,4,2,3,423,Potential Loyalists
CD-11980,Carol Darley,Consumer,3,639.766,-206.7172,22,2017-11-06,2016-11-24,54,213.2553333333333,0.00027849806738991495,3,1,1,311,At Risk
CD-12280,Christina DeMoss,Consumer,2,1205.584,233.0274,39,2017-11-18,2017-11-05,42,602.792,0.0005248056540613338,4,1,2,412,New / Promising
CD-12790,Cynthia Delaney,Home Office,5,1860.732,403.8422,49,2016-11-26,2014-02-02,399,372.14639999999997,0.0008099996966556073,1,2,3,123,New / Promising
CG-12040,Catherine Glotzbach,Home Office,6,904.4680000000001,86.5106,37,2017-11-11,2015-06-01,49,150.7446666666667,0.0003937261280155895,4,3,1,431,Potential Loyalists
CG-12520,Claire Gute,Consumer,3,1148.7800000000002,169.93439999999998,14,2017-01-26,2015-10-15,338,382.92666666666673,0.0005000781689808251,1,1,2,112,At Risk
CH-12070,Cathy Hwang,Home Office,3,1537.236,195.15109999999999,13,2016-02-08,2015-06-25,691,512.412,0.0006691778792905584,1,1,2,112,At Risk
CJ-11875,Carl Jackson,Corporate,1,16.52,1.652,5,2016-12-30,2016-12-30,365,16.52,7.1913607057602235e-06,1,1,1,111,Lost / Low Value
CJ-12010,Caroline Jumper,Consumer,8,11164.974,858.7414,83,2017-06-24,2016-03-10,189,1395.62175,0.004860251531745433,2,4,5,245,Loyal Customers
CK-12205,Chloris Kastensmidt,Consumer,13,3154.855,141.2831,122,2017-11-21,2014-03-11,39,242.68115384615385,0.0013733474745382065,4,5,4,454,Champions
CK-12325,Christine Kargatis,Home Office,5,2945.321,261.22090000000003,46,2017-09-01,2014-03-14,120,589.0642,0.0012821347279207268,2,2,4,224,Potential Loyalists
CK-12595,Clytie Kelty,Consumer,11,2372.75,497.70980000000003,108,2017-11-17,2014-12-26,43,215.70454545454547,0.0010328874766702524,4,5,3,453,Loyal Customers
CK-12760,Cyma Kinney,Corporate,9,1582.109,-338.4311,64,2017-10-09,2014-02-07,82,175.78988888888887,0.0006887116522293948,3,5,2,352,Loyal Customers
CL-11890,Carl Ludwig,Consumer,4,1262.0140000000001,328.0847,24,2017-09-15,2014-07-26,106,315.50350000000003,0.0005493703323074627,2,1,2,212,At Risk
CL-12565,Clay Ludtke,Consumer,12,10880.546,1933.7830999999999,106,2017-03-21,2014-03-04,284,906.7121666666667,0.0047364364988872025,1,5,5,155,Loyal Customers
CL-12700,Craig Leslie,Home Office,5,2353.586,229.00990000000002,34,2017-09-16,2016-04-24,105,470.71719999999993,0.0010245451500016573,2,2,3,223,New / Promising
CM-11815,Candace McMahon,Corporate,6,1673.888,214.463,38,2017-08-21,2014-11-14,131,278.98133333333334,0.0007286641881987633,2,3,2,232,New / Promising
CM-11935,Carlos Meador,Consumer,2,565.392,-43.732400000000005,18,2016-01-22,2015-09-24,708,282.696,0.0002461221435926867,1,1,1,111,Lost / Low Value
CM-12115,Chad McGuire,Consumer,4,1661.6100000000001,409.0679,35,2017-12-22,2015-03-29,8,415.40250000000003,0.0007233194226572788,5,1,2,512,Potential Loyalists
CM-12160,Charles McCrossin,Consumer,6,2533.314,-394.3686,23,2017-12-04,2016-10-21,26,422.219,0.0011027829754813713,5,3,3,533,Loyal Customers
CM-12190,Charlotte Melton,Consumer,6,1475.144,91.2033,21,2017-12-22,2015-09-18,8,245.85733333333334,0.0006421484622843801,5,3,2,532,Loyal Customers
CM-12235,Chris McAfee,Consumer,5,2305.712,365.0387,28,2016-12-10,2016-05-01,385,461.1424,0.00100370500457626,1,2,3,123,New / Promising
CM-12385,Christopher Martinez,Consumer,4,8954.019999999999,3899.8903999999998,34,2017-11-23,2015-03-16,37,2238.5049999999997,0.003897795858752491,4,1,5,415,Loyal Customers
CM-12445,Chuck Magee,Consumer,3,287.99,64.4296,32,2016-10-20,2014-06-09,436,95.99666666666667,0.0001253656155963612,1,1,1,111,Lost / Low Value
CM-12655,Corinna Mitchell,Home Office,6,6339.5576,1572.4585,42,2017-12-03,2015-03-19,27,1056.5929333333333,0.0027596879792096607,4,3,5,435,Loyal Customers
CM-12715,Craig Molinari,Corporate,4,3984.4524,176.3108,57,2015-03-01,2014-03-07,1035,996.1131,0.0017344815026230035,1,1,4,114,New / Promising
CP-12085,Cathy Prescott,Corporate,8,5402.254,427.0258,57,2017-10-09,2014-12-04,82,675.28175,0.0023516681076353506,3,4,5,345,Loyal Customers
CP-12340,Christine Phan,Corporate,8,5888.275,-1850.3029000000001,59,2017-07-23,2014-03-17,160,736.034375,0.002563239071411034,2,4,5,245,Loyal Customers
CR-12580,Clay Rozendal,Home Office,4,2148.852,74.40129999999999,32,2017-11-03,2016-04-18,57,537.213,0.0009354219028628491,3,1,3,313,New / Promising
